Name,Sequence,Left Overhang,Right Overhang,type,Resistance,Level,Composition,,,,,,,,,,,,,,,,,,,
terminator2,,,,terminator,,,,,,,,,,,,,,,,,,,,,,
terminator3,,,,terminator,,,,,,,,,,,,,,,,,,,,,,
terminator1,,,,terminator,,,,,,,,,,,,,,,,,,,,,,
promoter2,,,,promoter,,,,,,,,,,,,,,,,,,,,,,
promoter1,,,,promoter,,,,,,,,,,,,,,,,,,,,,,
c3,,,,gene,,,,,,,,,,,,,,,,,,,,,,
rbs1,,,,RBS,,,,,,,,,,,,,,,,,,,,,,
c2,,,,gene,,,,,,,,,,,,,,,,,,,,,,
c1,,,,gene,,,,,,,,,,,,,,,,,,,,,,
Device1,,,,composite,,,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device2,,,,composite,,,promoter2,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device3,,,,composite,,,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device4,,,,composite,,,promoter1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device5,,,,composite,,,promoter2,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device6,,,,composite,,,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,,
Device7,,,,composite,,,promoter1,rbs1,c1,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device8,,,,composite,,,promoter2,rbs1,c1,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device9,,,,composite,,,rbs1,c1,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device10,,,,composite,,,promoter1,c1,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device11,,,,composite,,,promoter2,c1,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device12,,,,composite,,,c1,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,,
Device13,,,,composite,,,promoter1,rbs1,c2,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device14,,,,composite,,,promoter2,rbs1,c2,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device15,,,,composite,,,rbs1,c2,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device16,,,,composite,,,promoter1,c2,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device17,,,,composite,,,promoter2,c2,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device18,,,,composite,,,c2,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,,
Device19,,,,composite,,,promoter1,rbs1,c3,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device20,,,,composite,,,promoter2,rbs1,c3,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device21,,,,composite,,,rbs1,c3,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device22,,,,composite,,,promoter1,c3,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device23,,,,composite,,,promoter2,c3,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device24,,,,composite,,,c3,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,,
Device25,,,,composite,,,promoter1,rbs1,c1,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device26,,,,composite,,,promoter2,rbs1,c1,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device27,,,,composite,,,rbs1,c1,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device28,,,,composite,,,promoter1,c1,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device29,,,,composite,,,promoter2,c1,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device30,,,,composite,,,c1,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,,
Device31,,,,composite,,,promoter1,rbs1,c2,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device32,,,,composite,,,promoter2,rbs1,c2,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1
Device33,,,,composite,,,rbs1,c2,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device34,,,,composite,,,promoter1,c2,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
Device35,,,,composite,,,promoter2,c2,terminator2,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,promoter1,rbs1,c3,terminator1,
